School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
4860,Blackburn Lake Primary School,Government,Primary,12 - 14 Florence Street,Blackburn,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.166097,-37.827601,17.99,Government,Primary,Inner Eastern Melbourne,Blackburn,,,
2923,Blackburn Primary School,Government,Primary,185 Surrey Road,Blackburn,3130,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.156696,-37.816566,17.00,Government,Primary,Inner Eastern Melbourne,Blackburn,,,
5288,Boroondara Park Primary School,Government,Primary,40 Almond Street,Balwyn North,3104,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.087893,-37.789437,10.92,Government,Primary,Inner Eastern Melbourne,Balwyn North,,,
7635,Box Hill High School,Government,Secondary,1180 Whitehorse Road,Box Hill,3128,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.137208,-37.820003,15.35,Government,Secondary,Inner Eastern Melbourne,Box Hill,,,
4717,Box Hill North Primary School,Government,Primary,Elizabeth Street,Box Hill North,3129,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.123311,-37.800792,13.97,Government,Primary,Inner Eastern Melbourne,Box Hill North,,,
7050,Box Hill Senior Secondary College,Government,Secondary,Dunloe Avenue,Mont Albert North,3129,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.111907,-37.809243,13.01,Government,Secondary,Inner Eastern Melbourne,Mont Albert North,,,
5038,Brandon Park Primary School,Government,Primary,1-5 Ninevah Crescent,Wheelers Hill,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.173248,-37.914319,22.31,Government,Primary,Inner Eastern Melbourne,Wheelers Hill,,,
7647,Brentwood Secondary College,Government,Secondary,65-71 Watsons Road,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.1663432,-37.89950842,20.90,Government,Secondary,Inner Eastern Melbourne,Glen Waverley,,,
5099,Bulleen Heights School,Government,Special,49-61 Pleasant Road,Bulleen,3105,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Manningham (C),145.09506,-37.763285,12.20,Government,Special,Inner Eastern Melbourne,Bulleen,,,
454,Burwood East Primary School,Government,Primary,Cnr Blackburn And Highbury Rds,Burwood East,3151,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.151807,-37.859734,17.75,Government,Primary,Inner Eastern Melbourne,Burwood East,,,
5225,Burwood East Special Developmental School,Government,Special,18 Manooka Street,Burwood East,3151,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.142122,-37.857201,16.86,Government,Special,Inner Eastern Melbourne,Burwood East,,,
4932,Burwood Heights Primary School,Government,Primary,Cnr Hawthorn & Mahoneys Rds,Burwood East,3151,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Whitehorse (C),145.163275,-37.846754,18.23,Government,Primary,Inner Eastern Melbourne,Burwood East,,,
1322,Camberwell Girls Grammar School,Independent,Pri/Sec,2 Torrington Street,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.059705,-37.818211,8.62,Independent,Pri/Sec,Inner Eastern Melbourne,Canterbury,,,
1258,Camberwell Grammar School,Independent,Pri/Sec,55 Mont Albert Road,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.066407,-37.816093,9.14,Independent,Pri/Sec,Inner Eastern Melbourne,Canterbury,,,
7680,Camberwell High School,Government,Secondary,Prospect Hill Road,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.072821,-37.830151,10.10,Government,Secondary,Inner Eastern Melbourne,Canterbury,,,
888,Camberwell Primary School,Government,Primary,290 Camberwell Road,Camberwell,3124,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.058048,-37.832684,9.00,Government,Primary,Inner Eastern Melbourne,Camberwell,,,
4170,Camberwell South Primary School,Government,Primary,4 Peate Avenue,Glen Iris,3146,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.062612,-37.847905,10.14,Government,Primary,Inner Eastern Melbourne,Glen Iris,,,
5111,Camelot Rise Primary School,Government,Primary,Galahad Crescent,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.187775,-37.865278,20.92,Government,Primary,Inner Eastern Melbourne,Glen Waverley,,,
7690,Canterbury Girls Secondary College,Government,Secondary,16 Mangarra Road,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.069102,-37.820289,9.48,Government,Secondary,Inner Eastern Melbourne,Canterbury,,,
3572,Canterbury Primary School,Government,Primary,Molesworth Street,Canterbury,3126,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.083144,-37.830963,10.99,Government,Primary,Inner Eastern Melbourne,Canterbury,,,
1189,Carey Baptist Grammar School,Independent,Pri/Sec,349 Barkers Road,Kew,3101,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.047817,-37.814784,7.52,Independent,Pri/Sec,Inner Eastern Melbourne,Kew,,,
4314,Chatham Primary School,Government,Primary,Weybridge Street,Surrey Hills,3127,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Boroondara (C),145.091603,-37.817647,11.35,Government,Primary,Inner Eastern Melbourne,Surrey Hills,,,
1743,Cheshire School,Independent,Special,16 Woodlea Drive,Glen Waverley,3150,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,Monash (C),145.157454,-37.902265,20.41,Independent,Special,Inner Eastern Melbourne,Glen Waverley,,,
