School_No,School_Name,Education_Sector,School_Type,Address_Line_1,Address_Town,Address_Postcode,Region,Area,LGA_Name,X,Y,Distance_km_from_Melbourne_Connect,Map_Category_Sector,Map_Category_Type,Map_Category_Area,Map_Category_Suburb,Website_For_Popup,Logo_Image_URL,Logo_Status_For_Popup
2047,Deutsche Schule Melbourne,Independent,Primary,96 Barkly Street,North Fitzroy,3068,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.9827723,-37.77883164,2.87,Independent,Primary,North Eastern Melbourne,North Fitzroy,,,
5037,Diamond Creek East Primary School,Government,Primary,129-163 Main Hurstbridge Road,Diamond Creek,3089,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.165596,-37.674193,22.57,Government,Primary,North Eastern Melbourne,Diamond Creek,,,
1003,Diamond Creek Primary School,Government,Primary,17 Clyde Street,Diamond Creek,3089,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.1516539,-37.67184929,21.79,Government,Primary,North Eastern Melbourne,Diamond Creek,,,
8746,Diamond Valley College,Government,Secondary,165-179 Main Hurstbridge Road,Diamond Creek,3089,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.167403,-37.672828,22.79,Government,Secondary,North Eastern Melbourne,Diamond Creek,,,
5161,Diamond Valley Special Developmental School,Government,Special,14-24 Brentwick Drive,Greensborough,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.1116531,-37.68675447,18.08,Government,Special,North Eastern Melbourne,Greensborough,,,
5577,Donnybrook Primary School,Government,Primary,145 Olivine Boulevard,Donnybrook,3064,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),144.997751,-37.53707,29.40,Government,Primary,North Eastern Melbourne,Donnybrook,,,
945,Doreen Primary School,Government,Primary,75 Doctors Gully Road,Doreen,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.145539,-37.60601,26.83,Government,Primary,North Eastern Melbourne,Doreen,,,
1972,East Preston Islamic College,Independent,Pri/Sec,55 Tyler Street,East Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.0362184,-37.73395414,9.70,Independent,Pri/Sec,North Eastern Melbourne,East Preston,,,
5310,Edgars Creek Primary School,Government,Primary,45 Macedon Parade,Wollert,3750,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.002573,-37.609845,21.42,Government,Primary,North Eastern Melbourne,Wollert,,,
7081,Edgars Creek Secondary College,Government,Secondary,2 Steen Avenue,Wollert,3750,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.005071,-37.609492,21.50,Government,Secondary,North Eastern Melbourne,Wollert,,,
1714,Eltham College,Independent,Pri/Sec,1660 Main Road,Research,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.192232,-37.70044311,22.90,Independent,Pri/Sec,North Eastern Melbourne,Research,,,
4897,Eltham East Primary School,Government,Primary,16 Grove Street,Eltham,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.154861,-37.711432,19.44,Government,Primary,North Eastern Melbourne,Eltham,,,
7805,Eltham High School,Government,Secondary,30-60 Withers Way,Eltham,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.141725,-37.724436,17.72,Government,Secondary,North Eastern Melbourne,Eltham,,,
4212,Eltham North Primary School,Government,Primary,35-47 Wattletree Road,Eltham North,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.1508655,-37.70011091,19.82,Government,Primary,North Eastern Melbourne,Eltham North,,,
209,Eltham Primary School,Government,Primary,Dalton Street,Eltham,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.1478042,-37.72498353,18.17,Government,Primary,North Eastern Melbourne,Eltham,,,
5551,Epping Primary School,Government,Primary,805 High Street,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0255944,-37.64485061,18.09,Government,Primary,North Eastern Melbourne,Epping,,,
7813,Epping Secondary College,Government,Secondary,Mcdonalds Road,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.033426,-37.644001,18.39,Government,Secondary,North Eastern Melbourne,Epping,,,
5513,Epping Views Primary School,Government,Primary,20 Mansfield Street,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.024015,-37.628439,19.80,Government,Primary,North Eastern Melbourne,Epping,,,
2711,Fairfield Primary School,Government,Primary,Langridge Street,Fairfield,3078,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.020401,-37.777993,5.51,Government,Primary,North Eastern Melbourne,Fairfield,,,
5244,Findon Primary School,Government,Primary,Cuthbert Drive,Mill Park,3082,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0510724,-37.66649725,16.70,Government,Primary,North Eastern Melbourne,Mill Park,,,
1819,Fitzroy Community School,Independent,Primary,597 Brunswick Street,Fitzroy North,3068,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.97981,-37.789173,1.83,Independent,Primary,North Eastern Melbourne,Fitzroy North,,,
8742,Fitzroy High School,Government,Secondary,24-30 Falconer Street,Fitzroy North,3068,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.987476,-37.784911,2.65,Government,Secondary,North Eastern Melbourne,Fitzroy North,,,
1490,Fitzroy North Primary School,Government,Primary,Fergie Street,Fitzroy North,3068,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.984149,-37.78502,2.42,Government,Primary,North Eastern Melbourne,Fitzroy North,,,
450,Fitzroy Primary School,Government,Primary,319 George Street,Fitzroy,3065,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.981511,-37.799603,1.51,Government,Primary,North Eastern Melbourne,Fitzroy,,,
5260,Glen Katherine Primary School,Government,Primary,39 Calendonia Drive,Eltham North,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.139837,-37.689982,19.70,Government,Primary,North Eastern Melbourne,Eltham North,,,
2226,Glowrey Catholic Primary School,Catholic,Primary,10 Baltrum Drive,Wollert,3750,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.031776,-37.615822,21.33,Catholic,Primary,North Eastern Melbourne,Wollert,,,
4893,Greenhills Primary School,Government,Primary,29 Mine Street,Greensborough,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.118648,-37.692278,18.11,Government,Primary,North Eastern Melbourne,Greensborough,,,
2062,Greensborough Primary School,Government,Primary,130 Grimshaw Street,Greensborough,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.100496,-37.703569,16.08,Government,Primary,North Eastern Melbourne,Greensborough,,,
8750,Greensborough Secondary College,Government,Secondary,59 Nepean Street,Greensborough,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.091251,-37.708486,15.11,Government,Secondary,North Eastern Melbourne,Greensborough,,,
5500,Harvest Home Primary School,Government,Primary,365 Harvest Home Road,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.00226,-37.622078,20.07,Government,Primary,North Eastern Melbourne,Epping,,,
5552,Hazel Glen College,Government,Pri/Sec,115 Eminence Blvd,Doreen,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.119368,-37.597553,26.33,Government,Pri/Sec,North Eastern Melbourne,Doreen,,,
294,Heidelberg Primary School,Government,Primary,120 Cape Street,Heidelberg,3084,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.067799,-37.754705,10.40,Government,Primary,North Eastern Melbourne,Heidelberg,,,
1438,Holy Name School,Catholic,Primary,12 Robb Street,Preston East,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.018574,-37.730261,9.11,Catholic,Primary,North Eastern Melbourne,Preston East,,,
1516,Holy Spirit School,Catholic,Primary,197 Clarendon Street,Thornbury East,3071,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.01619,-37.760845,6.31,Catholic,Primary,North Eastern Melbourne,Thornbury East,,,
1910,Holy Trinity Primary School,Catholic,Primary,94 Weidlich Road,Eltham North,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.135461,-37.698439,18.82,Catholic,Primary,North Eastern Melbourne,Eltham North,,,
3939,Hurstbridge Primary School,Government,Primary,961-989 Heidelberg-Kinglake Rd,Hurstbridge,3099,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.19812,-37.635897,27.50,Government,Primary,North Eastern Melbourne,Hurstbridge,,,
2240,Ignatius Learning Centre,Catholic,Secondary,326 Church Street,Richmond,3121,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.998477,-37.821915,3.86,Catholic,Secondary,North Eastern Melbourne,Richmond,,,
4386,Ivanhoe East Primary School,Government,Primary,35 Warncliffe Road,Ivanhoe East,3079,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.059453,-37.774587,8.83,Government,Primary,North Eastern Melbourne,Ivanhoe East,,,
1187,Ivanhoe Girls' Grammar School,Independent,Pri/Sec,123 Marshall St,Ivanhoe,3079,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.046721,-37.765273,8.21,Independent,Pri/Sec,North Eastern Melbourne,Ivanhoe,,,
1004,Ivanhoe Grammar School,Independent,Pri/Sec,The Ridgeway,Ivanhoe,3079,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.044477,-37.772515,7.68,Independent,Pri/Sec,North Eastern Melbourne,Ivanhoe,,,
2436,Ivanhoe Primary School,Government,Primary,124 Waterdale Road,Ivanhoe,3079,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.04298,-37.766573,7.86,Government,Primary,North Eastern Melbourne,Ivanhoe,,,
2105,Kangaroo Ground Primary School,Government,Primary,Cr Graham&Eltham-Yarra Glen Rd,Kangaroo Ground,3097,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.214656,-37.691737,25.09,Government,Primary,North Eastern Melbourne,Kangaroo Ground,,,
4845,Kingsbury Primary School,Government,Primary,1A Maryborough Avenue,Kingsbury,3083,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.037204,-37.716025,11.33,Government,Primary,North Eastern Melbourne,Kingsbury,,,
4976,Lalor East Primary School,Government,Primary,39 Cleveland Street,Thomastown,3074,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.035535,-37.67658,15.10,Government,Primary,North Eastern Melbourne,Thomastown,,,
5532,Lalor Gardens Primary School,Government,Primary,134 Kingsway Drive,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0013492,-37.66369312,15.51,Government,Primary,North Eastern Melbourne,Lalor,,,
5035,Lalor North Primary School,Government,Primary,2 Derna Crescent,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0285352,-37.66415051,16.14,Government,Primary,North Eastern Melbourne,Lalor,,,
7986,Lalor North Secondary College,Government,Secondary,114 Childs Road,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.034124,-37.660767,16.67,Government,Secondary,North Eastern Melbourne,Epping,,,
4709,Lalor Primary School,Government,Primary,26 Maxwell Street,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.025391,-37.670077,15.42,Government,Primary,North Eastern Melbourne,Lalor,,,
7985,Lalor Secondary College,Government,Secondary,118 David Street,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0306228,-37.67265939,15.32,Government,Secondary,North Eastern Melbourne,Lalor,,,
5497,Laurimar Primary School,Government,Primary,Armidale Road,Doreen,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.126874,-37.585823,27.79,Government,Primary,North Eastern Melbourne,Doreen,,,
1721,Learning Co-Operative School,Independent,Primary,10 Laceys Road,Cottles Bridge,3099,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.2133347,-37.62939233,28.99,Independent,Primary,North Eastern Melbourne,Cottles Bridge,,,
1295,Lower Plenty Primary School,Government,Primary,126-144 Main Road,Lower Plenty,3093,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.115498,-37.726172,15.63,Government,Primary,North Eastern Melbourne,Lower Plenty,,,
1810,Loyola College,Catholic,Secondary,325 Grimshaw Street,Watsonia,3087,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.08073,-37.703396,14.85,Catholic,Secondary,North Eastern Melbourne,Watsonia,,,
6242,Macleod College,Government,Pri/Sec,Carwarp Street,Macleod,3085,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.072218,-37.724746,12.66,Government,Pri/Sec,North Eastern Melbourne,Macleod,,,
1961,Maharishi School of the Age of Enlightenment,Independent,Primary,2-6 Dundee Street,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.019467,-37.704377,11.70,Independent,Primary,North Eastern Melbourne,Reservoir,,,
1164,Mary Immaculate School,Catholic,Primary,9 Rockbeare Grove,Ivanhoe,3079,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.038756,-37.771941,7.25,Catholic,Primary,North Eastern Melbourne,Ivanhoe,,,
2032,Marymede Catholic College,Catholic,Pri/Sec,60 Williamsons Road,South Morang,3752,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.091027,-37.643315,20.69,Catholic,Pri/Sec,North Eastern Melbourne,South Morang,,,
2258,Mastery Schools Victoria,Independent,Special,"Terrace 14, Ernest Jones Drive",Bundoora,3086,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.05715,-37.72067,12.03,Independent,Special,North Eastern Melbourne,Bundoora,,,
5286,Meadowglen Primary School,Government,Primary,22-48 Meadow Glen Drive,Epping,3076,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0530862,-37.64274926,19.16,Government,Primary,North Eastern Melbourne,Epping,,,
8819,Melbourne Girls College,Government,Secondary,Yarra Boulevard,Richmond,3121,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),145.014334,-37.822507,5.05,Government,Secondary,North Eastern Melbourne,Richmond,,,
8897,Mernda Central P-12 College,Government,Pri/Sec,70 Breadalbane Avenue,Mernda,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.08833,-37.604853,24.30,Government,Pri/Sec,North Eastern Melbourne,Mernda,,,
2250,Mernda Hills Christian College,Independent,Pri/Sec,370 Bridge Inn Rd,Mernda,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.074653,-37.598508,24.43,Independent,Pri/Sec,North Eastern Melbourne,Mernda,,,
5525,Mernda Park Primary School,Government,Primary,40 Riverdale Boulevard,Mernda,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0959314,-37.6144415,23.67,Government,Primary,North Eastern Melbourne,Mernda,,,
488,Mernda Primary School,Government,Primary,25 Everton Drive,Mernda,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0922429,-37.59459504,25.47,Government,Primary,North Eastern Melbourne,Mernda,,,
3110,Merri Creek Primary School,Government,Primary,Miller Street,Fitzroy North,3068,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.987386,-37.776966,3.28,Government,Primary,North Eastern Melbourne,Fitzroy North,,,
5284,Merriang Special Developmental School,Government,Special,11 Duncan Road,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0150833,-37.66723751,15.43,Government,Special,North Eastern Melbourne,Lalor,,,
5325,Mill Park Heights Primary School,Government,Primary,87-93 Pindari Avenue,Mill Park,3082,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.051747,-37.657331,17.64,Government,Primary,North Eastern Melbourne,Mill Park,,,
5160,Mill Park Primary School,Government,Primary,2-10 Blamey Avenue,Mill Park,3082,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0658816,-37.6746058,16.57,Government,Primary,North Eastern Melbourne,Mill Park,,,
8775,Mill Park Secondary College,Government,Secondary,9 - 25 Moorhead Drive,Mill Park,3082,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.063414,-37.664155,17.45,Government,Secondary,North Eastern Melbourne,Mill Park,,,
4112,Montmorency Primary School,Government,Primary,60a Rattray Road,Montmorency,3094,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.121599,-37.717652,16.59,Government,Primary,North Eastern Melbourne,Montmorency,,,
8068,Montmorency Secondary College,Government,Secondary,Para Road,Montmorency,3094,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.113611,-37.714075,16.24,Government,Secondary,North Eastern Melbourne,Montmorency,,,
4925,Montmorency South Primary School,Government,Primary,64 Buena Vista Drive,Montmorency,3094,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.129665,-37.724927,16.77,Government,Primary,North Eastern Melbourne,Montmorency,,,
1975,Morang South Primary School,Government,Primary,77 Gorge Road,South Morang,3752,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0946659,-37.65286941,19.99,Government,Primary,North Eastern Melbourne,South Morang,,,
4646,Newlands Primary School,Government,Primary,2-26 Murphy Street,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),144.985377,-37.730113,8.00,Government,Primary,North Eastern Melbourne,Preston,,,
3618,Norris Bank Primary School,Government,Primary,146 Settlement Road,Bundoora,3083,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0426341,-37.6945118,13.61,Government,Primary,North Eastern Melbourne,Bundoora,,,
1770,North-Eastern Montessori School,Independent,Primary,315 Aqueduct Rd,St Helena,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.137091,-37.68407,19.93,Independent,Primary,North Eastern Melbourne,St Helena,,,
8180,Northcote High School,Government,Secondary,St Georges Road,Northcote,3070,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),144.989706,-37.774156,3.65,Government,Secondary,North Eastern Melbourne,Northcote,,,
1401,Northcote Primary School,Government,Primary,33 Helen Street,Northcote,3070,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),144.99688,-37.771758,4.26,Government,Primary,North Eastern Melbourne,Northcote,,,
7300,Northern College of the Arts and Technology,Government,Secondary,62 Murray Road,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.025372,-37.740069,8.57,Government,Secondary,North Eastern Melbourne,Preston,,,
5219,Northern School For Autism,Government,Special,16-18 Gertz Ave,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.0299342,-37.70058524,12.48,Government,Special,North Eastern Melbourne,Reservoir,,,
1787,Northside Christian College,Independent,Pri/Sec,31 McLeans Rd,Bundoora,3083,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0546707,-37.69501422,14.13,Independent,Pri/Sec,North Eastern Melbourne,Bundoora,,,
1275,Our Lady Help of Christians School,Catholic,Primary,1-13 Henry Street,Eltham,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.147912,-37.716123,18.65,Catholic,Primary,North Eastern Melbourne,Eltham,,,
914,Our Lady of Mercy College,Catholic,Secondary,52 Cape Street,Heidelberg,3084,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.067586,-37.75793,10.22,Catholic,Secondary,North Eastern Melbourne,Heidelberg,,,
1627,Our Lady of the Way School,Catholic,Primary,11-13 Green Avenue,Kingsbury,3083,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.035525,-37.715261,11.32,Catholic,Primary,North Eastern Melbourne,Kingsbury,,,
1134,Panton Hill Primary School,Government,Primary,585 Kangaroo Grd-St Andrews Rd,Panton Hill,3759,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.2395564,-37.64160566,29.95,Government,Primary,North Eastern Melbourne,Panton Hill,,,
20,Parade College,Catholic,Secondary,1436 Plenty Road,Bundoora,3083,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.066978,-37.690178,15.20,Catholic,Secondary,North Eastern Melbourne,Bundoora,,,
3806,Penders Grove Primary School,Government,Primary,370 Victoria Road,Thornbury,3071,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.01427,-37.754517,6.71,Government,Primary,North Eastern Melbourne,Thornbury,,,
7217,Peter Lalor Secondary College,Government,Secondary,2 Robert Street,Lalor,3075,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0126913,-37.66678514,15.42,Government,Secondary,North Eastern Melbourne,Lalor,,,
1915,Plenty Parklands Primary School,Government,Primary,48 Blossom Park Drive,Mill Park,3082,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.0769441,-37.6697252,17.56,Government,Primary,North Eastern Melbourne,Mill Park,,,
2244,Plenty River College,Independent,Secondary,"Unit 5, 9 Danaher Drive",South Morang,3752,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Whittlesea (C),145.08148,-37.64875,19.73,Independent,Secondary,North Eastern Melbourne,South Morang,,,
1826,Plenty Valley Christian College,Independent,Pri/Sec,840 Yan Yean Road,Doreen,3754,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.138791,-37.613463,25.81,Independent,Pri/Sec,North Eastern Melbourne,Doreen,,,
2110,Prace | Prace College | Preston Reservoir Adult Community Education,Independent,Special,35 Sturdee Street,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.009255,-37.698704,11.95,Independent,Special,North Eastern Melbourne,Reservoir,,,
8241,Preston High School,Government,Secondary,2-16 Cooma Street,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.006401,-37.741692,7.47,Government,Secondary,North Eastern Melbourne,Preston,,,
4764,Preston North East Primary School,Government,Primary,93 Tyler Street,East Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.029455,-37.733052,9.40,Government,Primary,North Eastern Melbourne,East Preston,,,
1494,Preston Primary School,Government,Primary,240 Tyler Street,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.01031,-37.730548,8.73,Government,Primary,North Eastern Melbourne,Preston,,,
824,Preston South Primary School,Government,Primary,56B Hotham Street,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.007447,-37.747867,6.94,Government,Primary,North Eastern Melbourne,Preston,,,
3885,Preston West Primary School,Government,Primary,383 Murray Road,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),144.99553,-37.737366,7.50,Government,Primary,North Eastern Melbourne,Preston,,,
2955,Princes Hill Primary School,Government,Primary,280 Pigdon Street,Princes Hill,3054,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.9681013,-37.78039994,2.22,Government,Primary,North Eastern Melbourne,Princes Hill,,,
8245,Princes Hill Secondary College,Government,Secondary,47 Arnold Street,Princes Hill,3054,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.96503,-37.783481,1.85,Government,Secondary,North Eastern Melbourne,Princes Hill,https://www.phsc.vic.edu.au/,https://www.phsc.vic.edu.au/wp-content/uploads/2024/08/logo-type-colour.png,Required for nearest-six secondary school
2959,Research Primary School,Government,Primary,1570 Main Road,Research,3095,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.1835697,-37.70291933,22.10,Government,Primary,North Eastern Melbourne,Research,,,
4686,Reservoir East Primary School,Government,Primary,58 Boldrewood Parade,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.021837,-37.719975,10.25,Government,Primary,North Eastern Melbourne,Reservoir,,,
8708,Reservoir High School,Government,Secondary,855 Plenty Road,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.029772,-37.722259,10.39,Government,Secondary,North Eastern Melbourne,Reservoir,,,
3960,Reservoir Primary School,Government,Primary,Duffy Street,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.00677,-37.71142,10.54,Government,Primary,North Eastern Melbourne,Reservoir,,,
5523,Reservoir Views Primary School,Government,Primary,73-91 Hickford Street,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.022725,-37.705518,11.70,Government,Primary,North Eastern Melbourne,Reservoir,,,
4711,Reservoir West Primary School,Government,Primary,5a Carrington Road,Reservoir,3073,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),144.990229,-37.722135,8.96,Government,Primary,North Eastern Melbourne,Reservoir,,,
8271,Richmond High School,Government,Secondary,4 Griffiths Street,Richmond,3121,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),145.002804,-37.817408,3.89,Government,Secondary,North Eastern Melbourne,Richmond,,,
5269,Richmond Primary School,Government,Primary,85 Brighton Street,Richmond,3121,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.9990734,-37.82956905,4.48,Government,Primary,North Eastern Melbourne,Richmond,,,
5044,Richmond West Primary School,Government,Primary,25 Lennox Street,Richmond,3121,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.995735,-37.813626,3.14,Government,Primary,North Eastern Melbourne,Richmond,,,
4753,Rosanna Golf Links Primary School,Government,Primary,Interlaken Parade,Rosanna,3084,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.0741188,-37.73512039,12.06,Government,Primary,North Eastern Melbourne,Rosanna,,,
4568,Rosanna Primary School,Government,Primary,Grandview Grove,Rosanna,3084,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.062899,-37.735395,11.26,Government,Primary,North Eastern Melbourne,Rosanna,,,
152,Sacred Heart School,Catholic,Primary,1 Clifton Grove,Preston,3072,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.003768,-37.744807,7.06,Catholic,Primary,North Eastern Melbourne,Preston,,,
468,Sacred Heart School,Catholic,Primary,107 King William Street,Fitzroy,3065,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Yarra (C),144.978524,-37.802049,1.27,Catholic,Primary,North Eastern Melbourne,Fitzroy,,,
1623,Sacred Heart School,Catholic,Primary,25 Gipson Street,Diamond Creek,3089,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Nillumbik (S),145.158777,-37.67214795,22.25,Catholic,Primary,North Eastern Melbourne,Diamond Creek,,,
1386,Santa Maria College,Catholic,Secondary,50 Separation Street,Northcote,3070,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Darebin (C),145.00248,-37.770356,4.71,Catholic,Secondary,North Eastern Melbourne,Northcote,,,
5013,Sherbourne Primary School,Government,Primary,17 Outlook Crescent,Briar Hill,3088,NORTH-WESTERN VICTORIA,North Eastern Melbourne,Banyule (C),145.130077,-37.708908,17.75,Government,Primary,North Eastern Melbourne,Briar Hill,,,
